რეგიონი ,რაიონი,სკოლა,სამუშაოს ტიპი, თანხა 
იმერეთი,ჭიათურა,სოფ. ქვაციხის საჯარო სკოლა,რეაბილიტაცია,"70,764.24"
იმერეთი,ჭიათურა,სოფ. რცხილათის საჯარო სკოლა,რეაბილიტაცია,"6,731.44"
იმერეთი,ჭიათურა,სოფ. დარკვეთის საჯარო სკოლა,რეაბილიტაცია,"15,854.77"
იმერეთი,ჭიათურა,სოფ. ხრეითის  №1 საჯარო სკოლა,რეაბილიტაცია,"113,772.26"
იმერეთი,ჭიათურა,სოფ. სვერის საჯარო სკოლა,რეაბილიტაცია,"306,205.86"
იმერეთი,სამტრედია, №4 საჯარო სკოლა,რეაბილიტაცია,"14,227.00"
იმერეთი,სამტრედია,სოფ. ეწერის საჯარო სკოლა,რეაბილიტაცია,"29,923.00"
იმერეთი,სამტრედია,სოფ. კორმაღლის საჯარო სკოლა,რეაბილიტაცია,"23,466.00"
იმერეთი,სამტრედია,სოფ. ნაბაკევის საჯარო სკოლა,რეაბილიტაცია,"44,992.68"
იმერეთი,სამტრედია,სოფ. მელაურის საჯარო სკოლა,რეაბილიტაცია,"38,282.19"
იმერეთი,სამტრედია,სოფ. ტოლების საჯარო სკოლა,რეაბილიტაცია,"28,195.02"
იმერეთი,სამტრედია,სოფ. ტოლების საჯარო სკოლა,სპორტული დარბაზის რეაბილიტაცია,"41,843.60"
იმერეთი,სამტრედია, №12 საჯარო სკოლა,რეაბილიტაცია,"86,782.37"
იმერეთი,სამტრედია, №3 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია,"95,076.21"
იმერეთი,სამტრედია, №9 საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"40,539.20"
იმერეთი,სამტრედია,სოფ. დაბლა გომის საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"17,860.22"
იმერეთი,სამტრედია,სოფ. საჯავახოს საჯარო სკოლა,რეაბილიტაცია (გზისპირა),"35,196.47"
იმერეთი,სამტრედია,სოფ. ოფეთის საჯარო სკოლა,რეაბილიტაცია,"125,408.19"
იმერეთი,სამტრედია, №11 საჯარო სკოლა,მომავლის კლასი,"32,664.00"
იმერეთი,ზესტაფონი, №3 საჯარო სკოლა,რეაბილიტაცია,"67,686.65"
იმერეთი,ზესტაფონი, №6 საჯარო სკოლა,რეაბილიტაცია,"34,292.47"
იმერეთი,ზესტაფონი,სოფ. დილიკაურის საჯარო სკოლა,რეაბილიტაცია,"14,809.60"
