რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი, ხელშეკრულების თანხა 
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №160 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 21,555.55        "
კახეთი,თელავი,ქალაქ თელავის №9 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 19,722.42        "
კახეთი,ახმეტა,ახმეტის მუნიციპალიტეტის სოფელ დუმასტურის საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 3,993.00        "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის №13 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 11,160.00        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №119 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 9,363.63        "
მცხეთა–მთიანეთი,მცხეთა,მცხეთის მუნიციპალიტეტის სოფელ ახალდაბის საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 6,980.54        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №141 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 29,174.98        "
თბილისი,ისანი–სამგორი,ქალაქ თბილისის №179 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 3,850.93        "
შიდა ქართლი,კასპი,ქალაქ კასპის №1 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 21,727.49        "
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ცაგერი,ქალაქ ცაგერის საჯარო სკოლა ,გათბობის სისტემის რეაბილიტაცია," 21,934.78        "
იმერეთი,ქუთაისი,ქალაქ ქუთაისის №26 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 2,690.81        "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის №9 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 4,100.95        "
იმერეთი,ქუთაისი,ქალაქ ქუთაისის №35 საჯარო სკოლა,გათბობის სისტემის რეაბილიტაცია," 4,110.26        "
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,ქალაქ ამბროლაურის №1 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 3,525.00        "
რაჭა–ლეჩხუმი და ქვემო სვანეთი,ამბროლაური,ქალაქ ამბროლაურის №2 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 9,297.00        "
გურია,ჩოხატაური,ჩოხატაურის მუნიციპალიტეტის სოფელ ჩაისუბნის საჯარო სკოლა,გაზმომარაგების სამუშაოები," 4,335.00        "
სამეგრელო–ზემო სვანეთი,ფოთი,ქალაქ ფოთის №4 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 11,900.00        "
სამეგრელო–ზემო სვანეთი,ფოთი,ქალაქ ფოთის №5 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 15,955.00        "
მცხეთა–მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის დაბა ჟინვალის საჯარო სკოლა,გაზმომარაგების სამუშაოები," 9,872.60        "
მცხეთა–მთიანეთი,დუშეთი,დუშეთის მუნიციპალიტეტის სოფელ ბაზალეთის საჯარო სკოლა,გაზმომარაგების სამუშაოები," 3,056.95        "
შიდა ქართლი,ქარელი,ქარელის მუნიციპალიტეტის სოფელ ურბნისის საჯარო სკოლა,გაზმომარაგების სამუშაოები," 4,678.00        "
ქვემო ქართლი,თეთრიწყარო,თეთრიწყაროს მუნიციპალიტეტის სოფელ ბოგვის საჯარო სკოლა,გაზმომარაგების სამუშაოები," 4,907.24        "
კახეთი,გურჯაანი,გურჯაანის მუნიციპალიტეტის სოფელ კაჭრეთის საჯარო სკოლა,გაზმომარაგების სამუშაოები," 3,064.00        "
კახეთი,თელავი,ქალაქ თელავის №9 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 13,494.50        "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის №2 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 3,254.99        "
სამეგრელო–ზემო სვანეთი,ხობი,ქალაქ ხობის №1 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 3,790.00        "
სამეგრელო–ზემო სვანეთი,ხობი,ქალაქ ხობის №2 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 7,182.00        "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №219 საჯარო სკოლა ,გაზმომარაგების სამუშაოები," 4,732.99        "
სამეგრელო–ზემო სვანეთი,ზუგდიდი,ქალაქ ზუგდიდის №3 საჯარო სკოლა,გაზმომარაგების სამუშაოები," 3,516.00        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №200 საჯარო სკოლა,ტოპო-გეოდეზიური და გეოლოგიური კვლევა," 1,499.00        "
ქვემო ქართლი,რუსთავი,ქალაქ რუსთავის №17 საჯარო სკოლა,საქვაბის მშენებლობა," 12,998.00        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №10 საჯარო სკოლა,ეზოს კეთილმოწყობა," 66,299.00        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №175 საჯარო სკოლა,რეაბილიტაცია," 85,795.37        "
თბილისი,გლდანი-ნაძალადევი,"სსიპ პროფესიული კოლეჯი  ,,მერმისი""""",სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 46,904.27        "
გურია,ოზურგეთი,ქალაქ ოზურგეთის N1 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 9,466.36        "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ცხემლისხიდის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 71,171.53        "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ  ბოხვაურის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 16,230.57        "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ  კვირიკეთის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 65,030.45        "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ სილაურის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 19,105.97        "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ მელექედურის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 20,276.05        "
გურია,ოზურგეთი,ოზურგეთის მუნიციპალიტეტის სოფელ ბაილეთის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 9,933.70        "
შიდა ქართლი,კასპი,ქალაქ კასპის N1 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 4,030.58        "
შიდა ქართლი,კასპი,ქალაქ კასპის N2 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 68,219.95        "
შიდა ქართლი,კასპი,კასპის მუნიციპალიტეტის სოფელ დოესის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 146,020.66        "
შიდა ქართლი,კასპი,კასპის მუნიციპალიტეტის სოფელ ლამისყანის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 127,271.75        "
შიდა ქართლი,კასპი,კასპის მუნიციპალიტეტის სოფელ აღაიანის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 32,387.26        "
შიდა ქართლი,გორი,ქალაქ გორის №4 საჯარო სკოლა ,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 1,154.11        "
შიდა ქართლი,გორი,ქალაქ გორის №11 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 23,217.00        "
შიდა ქართლი,გორი,ქალაქ გორის №12 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 47,442.75        "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №79 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 127,168.72        "
მცხეთა–მთიანეთი,მცხეთა,ნიკო ბაგრატიონის (ბურის) სახელობის მცხეთის მუნიციპალიტეტის სოფელ მუხრანის №1 საჯარო სკოლა  ,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 123,962.89        "
ქვემო ქართლი,ბოლნისი,ბოლნისის მუნიციპალიტეტის სოფელ რატევანის საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 30,296.55        "
თბილისი,ისან-სამგორი,ქალაქ თბილისის №146 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 21,500.00        "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №73 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 23,529.50        "
თბილისი,ისან-სამგორი,ქალაქ თბილისის №168 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 40,976.90        "
თბილისი,ისან-სამგორი,ქალაქ თბილისის №219 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 26,144.27        "
თბილისი,ისან-სამგორი,ქალაქ თბილისის №180 საჯარო სკოლა,სტიქიის შედეგად მიყენებული დაზიანების რეაბილიტაცია," 59,634.38        "
თბილისი,ვაკე-საბურთალო,სსიპ საგანმანათლებლო და სამეცნიერო ინფრასტრუქტურის განვითარების სააგენტო,ოფისის სარეაბილიტაციო სამუშაოები," 3,444.00        "
ქვემო ქართლი,დმანისი,დმანისის მუნიციპალიტეტის სოფელ დაგარახლოს საჯარო სკოლა,რეაბილიტაცია (გადახურვა)," 36,215.50        "
ქვემო ქართლი,დმანისი,ქალაქ დმანისის №3 საჯარო სკოლა,რეაბილიტაცია (გადახურვა)," 48,773.50        "
თბილისი,გლდანი-ნაძალადევი,თბილისის #10 საჯარო სკოლა,ეზოს ტოპო-გეოლოგიური კვლევა, 540.00        
თბილისი,ვაკე-საბურთალო,"საქართველოს განათლებისა და მეცნიერების სამინისტრო (ალექსიძის #1, შენობა-ნაგებობა #1)",ეზოს შლაგბაუმის რეაბილიტაცია, 360.00        
თბილისი,დიდგორი,ქალაქ თბილისის №213 საჯარო სკოლა,რეაბილიტაცია," 68,092.80 "
თბილისი,დიდგორი,ქალაქ თბილისის №211 საჯარო სკოლა,რეაბილიტაცია," 74,038.74 "
თბილისი,დიდგორი,ქალაქ თბილისის №212 საჯარო სკოლა,რეაბილიტაცია," 54,921.58 "
თბილისი,დიდგორი,ქალაქ თბილისის №214 საჯარო სკოლა,რეაბილიტაცია," 124,564.50 "
თბილისი,დიდუბე-ჩუღურეთი,ქალაქ თბილისის №100 საჯარო სკოლა,რეაბილიტაცია," 31,444.00 "
თბილისი,დიდუბე-ჩუღურეთი,ქალაქ თბილისის №22 საჯარო სკოლა,რეაბილიტაცია," 85,808.29 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №61 საჯარო სკოლა,გამაგრება-გაძლიერების სამუშაოები," 38,590.49 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №122 საჯარო სკოლა,რეაბილიტაცია," 67,416.96 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №162 საჯარო სკოლა,რეაბილიტაცია," 165,333.00 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №165 საჯარო სკოლა,რეაბილიტაცია," 51,756.65 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №17 საჯარო სკოლა,რეაბილიტაცია," 77,824.06 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №171 საჯარო სკოლა,რეაბილიტაცია," 86,215.08 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №195 საჯარო სკოლა,რეაბილიტაცია," 63,646.54 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №35 საჯარო სკოლა,რეაბილიტაცია," 128,307.68 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №123 საჯარო სკოლა,რეაბილიტაცია," 89,794.41 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №128 საჯარო სკოლა,რეაბილიტაცია," 136,908.63 "
თბილისი,ვაკე-საბურთალო,სსიპ საგანმანათლებლო და სამეცნიერო ინფრასტრუქტურის განვითარების სააგენტო,შენობის გარე საკანალიზაციო ქსელის რეაბილიტაცია," 4,995.70 "
თბილისი,ვაკე-საბურთალო,ქალაქ თბილისის №158 საჯარო სკოლა,გარე ელექტროსადენების სარეაბილიტაციო სამუშაოები," 6,784.56 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №133 საჯარო სკოლა,რეაბილიტაცია," 140,674.63 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №9 საჯარო სკოლა,რეაბილიტაცია," 115,366.55 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №113 საჯარო სკოლა,რეაბილიტაცია," 22,308.16 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №10 საჯარო სკოლა,რეაბილიტაცია," 80,113.88 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №8 საჯარო სკოლა,რეაბილიტაცია," 82,808.19 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №32 საჯარო სკოლა,რეაბილიტაცია," 32,045.53 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №79 საჯარო სკოლა,რეაბილიტაცია," 72,471.79 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №208 საჯარო სკოლა,რეაბილიტაცია," 122,012.50 "
თბილისი,გლდანი-ნაძალადევი,ქალაქ თბილისის №200 საჯარო სკოლა,რეაბილიტაცია," 444,626.02 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №163 საჯარო სკოლა,რეაბილიტაცია," 58,125.16 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №106 საჯარო სკოლა,რეაბილიტაცია," 35,319.00 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №105 საჯარო სკოლა,რეაბილიტაცია," 44,956.40 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №117 საჯარო სკოლა,რეაბილიტაცია," 107,302.50 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №131 საჯარო სკოლა,გამაგრება-გაძლიერების სამუშაოები," 34,992.66 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №139 საჯარო სკოლა,გამაგრება-გაძლიერების სამუშაოები," 119,006.32 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №215 საჯარო სკოლა (პირველი კორპუსი),რეაბილიტაცია," 49,167.55 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №215 საჯარო სკოლა (მეორე კორპუსი),რეაბილიტაცია," 109,482.84 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №153 საჯარო სკოლა,რეაბილიტაცია," 160,834.71 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №76 საჯარო სკოლა,რეაბილიტაცია," 60,689.79 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №103 საჯარო სკოლა,რეაბილიტაცია," 3,867.63 "
თბილისი,ისანი-სამგორი,"პროფესიული სასწავლებელი ,,სპექტრი""",რეაბილიტაცია," 31,897.89 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №89 საჯარო სკოლა,რეაბილიტაცია," 23,415.96 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №217 საჯარო სკოლა,რეაბილიტაცია," 245,986.14 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №219 საჯარო სკოლა,რეაბილიტაცია," 41,153.38 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №172 საჯარო სკოლა,გამაგრება," 160,999.00 "
თბილისი,ისანი-სამგორი,ქალაქ თბილისის №87 საჯარო სკოლა,რეაბილიტაცია," 7,372.01 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №43 საჯარო სკოლა,რეაბილიტაცია," 13,459.24 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №77 საჯარო სკოლა,რეაბილიტაცია," 108,895.22 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №98 საჯარო სკოლა,გათბობა," 24,288.38 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №202 საჯარო სკოლა,რეაბილიტაცია," 47,700.73 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №30 საჯარო სკოლა,გამაგრების სამუშაოები," 180,808.57 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №63 საჯარო სკოლა,გამაგრების სამუშაოები," 98,162.79 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №18 საჯარო სკოლა,გათბობა," 13,434.33 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №36 საჯარო სკოლა,გათბობა," 11,255.12 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №37 საჯარო სკოლა,გათბობა," 33,555.52 "
თბილისი,ძველი თბილისი,ქალაქ თბილისის №198 საჯარო სკოლა,გათბობა," 17,642.70 "
თბილისი,ძველი თბილისი,საქართველოს განათლებისა და მეცნიერების სამინისტრო (ადმინისტრაციული კორპუსი),სველი წერტილების და გათბობის სისტემის რეაბილიტაცია," 30,000.00 "
იმერეთი,ზესტაფონი,როდინაულის საჯარო სკოლის სადგურ სვირის კორპუსი,მშენებლობა," 1,068,900.00 "
იმერეთი,ზესტაფონი,№1 საჯარო სკოლა,რეაბილიტაცია," 26,431.35 "
იმერეთი,ზესტაფონი,№6 საჯარო სკოლა,რეაბილიტაცია," 25,135.02 "
იმერეთი,ზესტაფონი,ალავერდის საჯარო სკოლა,რეაბილიტაცია," 103,144.80 "
იმერეთი,ზესტაფონი,ბოსლევის საჯარო სკოლა,რეაბილიტაცია," 25,961.53 "
იმერეთი,ზესტაფონი,კლდეეთის საჯარო სკოლა,რეაბილიტაცია," 59,710.08 "
იმერეთი,ზესტაფონი,კვალითის საჯარო სკოლა,რეაბილიტაცია," 35,444.72 "
იმერეთი,ზესტაფონი,ქვედა საზანოს #2 საჯარო სკოლა,რეაბილიტაცია," 57,752.58 "
იმერეთი,ზესტაფონი,ქვედა საზანოს #3 საჯარო სკოლა,რეაბილიტაცია," 22,497.42 "
იმერეთი,ზესტაფონი,ძირულას საჯარო სკოლა,რეაბილიტაცია," 28,552.84 "
იმერეთი,ზესტაფონი,პირველი სვირის საჯარო სკოლა,რეაბილიტაცია," 42,411.70 "
იმერეთი,ზესტაფონი,ქვედა საზანოს #1 საჯარო სკოლა,რეაბილიტაცია," 68,092.30 "
იმერეთი,ზესტაფონი,ილემის საჯარო სკოლა,რეაბილიტაცია," 81,170.00 "
იმერეთი,ზესტაფონი,ტაბაკინის საჯარო სკოლა,რეაბილიტაცია," 97,056.50 "
იმერეთი,ზესტაფონი,მეორე სვირის #2 საჯარო სკოლა,რეაბილიტაცია," 57,035.90 "
იმერეთი,ზესტაფონი,ზოვრეთის საჯარო სკოლა,რეაბილიტაცია," 24,738.50 "
იმერეთი,ზესტაფონი,როდინაულის საჯარო სკოლა,რეაბილიტაცია," 61,468.50 "
იმერეთი,ზესტაფონი,მეორე სვირის #1 საჯარო სკოლა,რეაბილიტაცია," 26,751.20 "
იმერეთი,ზესტაფონი,ცხენთაროს საჯარო სკოლა,რეაბილიტაცია," 97,997.70 "
იმერეთი,ტყიბული,ქალაქ ტყიბულის  №1 საჯარო სკოლა,რეაბილიტაცია," 12,000.00 "
იმერეთი,ტყიბული,ქალაქ ტყიბულის  №4 საჯარო სკოლა,რეაბილიტაცია," 55,600.00 "
იმერეთი,ტყიბული,ქალაქ ტყიბულის  №5 საჯარო სკოლა,რეაბილიტაცია," 34,500.00 "
იმერეთი,ტყიბული,ქალაქ ტყიბულის  №6 საჯარო სკოლა,რეაბილიტაცია," 27,000.00 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  საწირის საჯარო სკოლა ,რეაბილიტაცია," 52,819.49 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  ხრესილის საჯარო სკოლა ,რეაბილიტაცია," 66,563.14 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  ორპირის საჯარო სკოლა ,რეაბილიტაცია," 17,706.72 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  გელათის საჯარო სკოლა ,რეაბილიტაცია," 46,374.32 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  ჯვარისის საჯარო სკოლა ,რეაბილიტაცია," 67,113.53 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  სოჩხეთის საჯარო სკოლა ,რეაბილიტაცია," 44,500.00 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  მუხურის №1 საჯარო სკოლა ,რეაბილიტაცია," 33,000.00 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  ახალსოფლის საჯარო სკოლა ,რეაბილიტაცია," 57,723.54 "
იმერეთი,ტყიბული,ტყიბულის მუნიციპალიტეტის სოფელ  დაბაძვლის საჯარო სკოლა ,რეაბილიტაცია," 40,654.25 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  ახალი საყულიას საჯარო სკოლა ,რეაბილიტაცია," 89,770.18 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  გვიშტიბის საჯარო სკოლა ,რეაბილიტაცია," 77,800.88 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  ოფშკვითის საჯარო სკოლა ,რეაბილიტაცია," 56,155.79 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  ოფურჩხეთის საჯარო სკოლა ,რეაბილიტაცია," 73,763.40 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  ქვიტირის საჯარო სკოლა ,რეაბილიტაცია," 21,899.37 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  ტყაჩირის საჯარო სკოლა ,რეაბილიტაცია," 98,272.79 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  მუხიანის საჯარო სკოლა ,რეაბილიტაცია," 189,828.20 "
იმერეთი,წყალტუბო,წყალტუბოს მუნიციპალიტეტის სოფელ  ბროწეულას საჯარო სკოლა ,რეაბილიტაცია," 63,883.40 "
იმერეთი,ბაღდათი,ბაღდათის მუნიციპალიტეტის სოფელ  ვარციხის საჯარო სკოლა ,რეაბილიტაცია," 94,055.78 "
იმერეთი,ბაღდათი,ბაღდათის №2 საჯარო სკოლა ,რეაბილიტაცია," 28,445.41 "
იმერეთი,ბაღდათი,ბაღდათის მუნიციპალიტეტის სოფელ  ფერსათის საჯარო სკოლა ,რეაბილიტაცია," 60,017.44 "
იმერეთი,ბაღდათი,ბაღდათის მუნიციპალიტეტის სოფელ  პირველი ობჩის საჯარო სკოლა ,რეაბილიტაცია," 54,352.85 "
იმერეთი,ბაღდათი,ბაღდათის მუნიციპალიტეტის სოფელ  დიმის №1 საჯარო სკოლა ,რეაბილიტაცია," 46,479.23 "
იმერეთი,ბაღდათი,ბაღდათის მუნიციპალიტეტის სოფელ  როკითის საჯარო სკოლა ,რეაბილიტაცია," 69,758.33 "
იმერეთი,ბაღდათი,ბაღდათის მუნიციპალიტეტის სოფელ  როხის საჯარო სკოლა ,რეაბილიტაცია," 79,431.25 "
იმერეთი,ბაღდათი,ბაღდათის მუნიციპალიტეტის სოფელ  ნერგეთის საჯარო სკოლა ,რეაბილიტაცია," 29,675.63 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  ბაშის საჯარო სკოლა ,რეაბილიტაცია," 58,933.81 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  ჭოგნარის საჯარო სკოლა ,რეაბილიტაცია," 36,743.71 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  ჩხენიშის საჯარო სკოლა ,რეაბილიტაცია," 56,499.89 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  დაბლაგომის საჯარო სკოლა ,რეაბილიტაცია," 101,235.42 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  ეწერის საჯარო სკოლა ,რეაბილიტაცია," 35,432.35 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  გომის საჯარო სკოლა ,რეაბილიტაცია," 67,181.69 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  კორმაღლის საჯარო სკოლა ,რეაბილიტაცია," 92,918.95 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  მელაურის საჯარო სკოლა ,რეაბილიტაცია," 77,719.17 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  ნიგორზღვას საჯარო სკოლა ,რეაბილიტაცია," 25,144.05 "
იმერეთი,სამტრედია,სამტრედიის მუნიციპალიტეტის სოფელ  საჯავახოს საჯარო სკოლა ,რეაბილიტაცია," 33,273.94 "
იმერეთი,სამტრედია,ქალაქ სამტრედიის №8 საჯარო სკოლა ,რეაბილიტაცია," 75,870.75 "
იმერეთი,ჭიათურა,ქალაქ ჭიათურის №1 საჯარო სკოლა ,რეაბილიტაცია," 20,563.20 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  ცხრუკვეთის საჯარო სკოლა ,რეაბილიტაცია," 24,277.65 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  ზოდის საჯარო სკოლა ,რეაბილიტაცია," 55,668.38 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  ქვედა უსახელოს საჯარო სკოლა ,რეაბილიტაცია," 50,680.90 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  ხრეითის  №2 საჯარო სკოლა ,რეაბილიტაცია," 12,533.10 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  ღვითორის საჯარო სკოლა ,რეაბილიტაცია," 13,553.60 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  პერევისის საჯარო სკოლა ,რეაბილიტაცია," 22,449.65 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  თაბაგრების საჯარო სკოლა ,რეაბილიტაცია," 44,232.80 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  მანდაეთის საჯარო სკოლა ,რეაბილიტაცია," 88,197.09 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  ხალიფაურის საჯარო სკოლა ,რეაბილიტაცია," 71,150.27 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  შუქრუთის #1 საჯარო სკოლა ,რეაბილიტაცია," 34,159.55 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  დარკვეთის საჯარო სკოლა ,რეაბილიტაცია," 30,144.51 "
იმერეთი,ჭიათურა,ჭიათურის მუნიციპალიტეტის სოფელ  ხვაშითის საჯარო სკოლა ,რეაბილიტაცია," 29,595.21 "
