რეგიონი,მუნიციპალიტეტი,საგანმანათლებლო დაწესებულების დასახელება,სამუშაოს ტიპი,სატენდერო ტანხა,სახელშეკრულებო თანხა
თბილისი,გლდანი–ნაძალადევი,№149  საჯარო სკოლა,," 55,928.80 "," 51,890.00 "
თბილისი,გლდანი–ნაძალადევი,№6  საჯარო სკოლა,," 44,923.52 "," 38,445.00 "
თბილისი,გლდანი–ნაძალადევი,№8  საჯარო სკოლა,," 52,842.95 "," 37,499.00 "
თბილისი,გლდანი–ნაძალადევი,№11  საჯარო სკოლა,,,
თბილისი,გლდანი–ნაძალადევი,№114  საჯარო სკოლა,," 51,116.35 "," 46,499.00 "
თბილისი,გლდანი–ნაძალადევი,№177  საჯარო სკოლა,," 51,626.41 "," 45,550.00 "
თბილისი,დიდუბე–ჩუღურეთი,№2  საჯარო სკოლა,," 50,115.47 ",
თბილისი,ძველი თბილისი,№23  საჯარო სკოლა,," 50,126.69 "," 48,794.00 "
თბილისი,ძველი თბილისი,№37  საჯარო სკოლა,," 51,121.05 "," 39,989.00 "
თბილისი,ვაკე–საბურთალო,№198  საჯარო სკოლა,," 51,099.97 "," 46,700.00 "
თბილისი,ვაკე–საბურთალო,№158  საჯარო სკოლა,," 49,796.86 "," 33,000.00 "
თბილისი,ისანი–სამგორი,№103  საჯარო სკოლა,," 53,569.27 "," 38,900.90 "
თბილისი,ისანი–სამგორი,№156  საჯარო სკოლა,," 49,502.09 "," 48,436.49 "
თბილისი,ისანი–სამგორი,№178  საჯარო სკოლა,," 51,126.66 "," 40,271.00 "
თბილისი,ძველი თბილისი,№49  საჯარო სკოლა,," 50,336.41 "," 34,900.00 "
თბილისი,ძველი თბილისი,№50  საჯარო სკოლა,," 49,086.94 "," 48,030.00 "
თბილისი,ისანი–სამგორი,№65  საჯარო სკოლა,," 50,007.84 "," 48,931.00 "
თბილისი,ძველი თბილისი,№68  საჯარო სკოლა,," 50,111.66 "," 42,000.00 "
თბილისი,ისანი–სამგორი,№127  საჯარო სკოლა,," 50,131.52 "," 43,564.61 "
თბილისი,გლდანი–ნაძალადევი,№32  საჯარო სკოლა,,49847.36,46700.00
თბილისი,გლდანი–ნაძალადევი,№39  საჯარო სკოლა,,51047.00,49440.00
თბილისი,გლდანი–ნაძალადევი,№167  საჯარო სკოლა,,49097.55,48040.55
თბილისი,გლდანი–ნაძალადევი,№119  საჯარო სკოლა,,51217.05,44400.00
თბილისი,გლდანი–ნაძალადევი,№120  საჯარო სკოლა,,50668.02,49577.00
თბილისი,გლდანი–ნაძალადევი,№160  საჯარო სკოლა,,49295.08,47367.00
თბილისი,გლდანი–ნაძალადევი,№173  საჯარო სკოლა,,190243.39,169999.00
თბილისი,გლდანი–ნაძალადევი,№9  საჯარო სკოლა,,77761.13,46500.00
